epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,scoreA_clean_ratio,scoreA_precision,scoreA_recall,fedrn_clean_ratio,fedrn_precision,fedrn_recall,net2_clean_ratio,net2_precision,net2_recall,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio,neighbor_ft_ep,net2_ft_ep
114,49.510000,1.428932,0.319424,0.615240,0.610400,0.954653,0.970424,0.615240,0.954294,0.977751,-1.000000,-1.000000,-1.000000,0.954294,0.977751,703,334,0.000000,1,1
115,52.670000,1.355939,0.320726,0.592760,0.587200,0.940736,0.963309,0.592760,0.941629,0.973354,-1.000000,-1.000000,-1.000000,0.941629,0.973354,865,382,0.000000,1,1
116,50.920000,1.392926,0.276839,0.661840,0.653600,0.949327,0.965637,0.661840,0.951650,0.980204,-1.000000,-1.000000,-1.000000,0.951650,0.980204,800,318,0.000000,1,1
117,51.340000,1.378923,0.285771,0.624360,0.621480,0.958100,0.969646,0.624360,0.958998,0.975052,-1.000000,-1.000000,-1.000000,0.958998,0.975052,640,383,0.000000,1,1
118,51.900000,1.374632,0.310440,0.590760,0.590720,0.954022,0.977317,0.590760,0.955447,0.978843,-1.000000,-1.000000,-1.000000,0.955447,0.978843,658,305,0.000000,1,1
119,54.110000,1.334761,0.334984,0.618040,0.618720,0.942139,0.978579,0.618040,0.945570,0.981064,-1.000000,-1.000000,-1.000000,0.945570,0.981064,841,282,0.000000,1,1
120,52.720000,1.350782,0.302073,0.631400,0.627400,0.951227,0.970596,0.631400,0.954007,0.979638,-1.000000,-1.000000,-1.000000,0.954007,0.979638,726,313,0.000000,1,1
121,53.430000,1.333254,0.308164,0.601600,0.600400,0.953831,0.976870,0.601600,0.954521,0.979531,-1.000000,-1.000000,-1.000000,0.954521,0.979531,684,300,0.000000,1,1
122,52.640000,1.363084,0.266942,0.614920,0.610160,0.956012,0.956388,0.614920,0.957523,0.965373,-1.000000,-1.000000,-1.000000,0.957523,0.965373,653,528,0.000000,1,1
123,53.500000,1.332713,0.293720,0.597160,0.593160,0.954953,0.962548,0.597160,0.955054,0.969141,-1.000000,-1.000000,-1.000000,0.955054,0.969141,671,454,0.000000,1,1
124,56.010000,1.296810,0.268223,0.606440,0.599520,0.964972,0.964972,0.606440,0.966097,0.977248,-1.000000,-1.000000,-1.000000,0.966097,0.977248,514,341,0.000000,1,1
125,54.390000,1.315647,0.326401,0.586960,0.584880,0.942416,0.962559,0.586960,0.941325,0.964864,-1.000000,-1.000000,-1.000000,0.941325,0.964864,861,503,0.000000,1,1
126,54.640000,1.312479,0.244662,0.618520,0.615760,0.961998,0.967908,0.618520,0.963073,0.973333,-1.000000,-1.000000,-1.000000,0.963073,0.973333,571,408,0.000000,1,1
127,54.820000,1.309711,0.311880,0.573880,0.572600,0.936151,0.945597,0.573880,0.938942,0.950536,-1.000000,-1.000000,-1.000000,0.938942,0.950536,876,701,0.000000,1,1
128,53.700000,1.323548,0.262154,0.622880,0.621680,0.952902,0.963691,0.622880,0.954213,0.966879,-1.000000,-1.000000,-1.000000,0.954213,0.966879,713,509,0.000000,1,1
129,55.190000,1.312768,0.296173,0.627800,0.627480,0.943265,0.966619,0.627800,0.946607,0.970538,-1.000000,-1.000000,-1.000000,0.946607,0.970538,838,451,0.000000,1,1
