epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
130,0.424905,42.680000,1.560547,0.000000,0.000000,0.707200,0.047200,0.754400,1,3536,236,3772,5000,3575,3696,121,197,318,0.947773,0.967262
131,0.399248,46.810000,1.487396,0.000000,0.000000,0.635400,0.000000,0.635400,0,3177,0,3177,5000,2803,3220,417,374,791,0.882279,0.870497
132,0.695175,45.390000,1.560934,0.000000,0.000000,0.627400,0.040400,0.667800,1,3137,202,3339,5000,2668,2772,104,671,775,0.799042,0.962482
133,0.554278,37.520000,1.669281,0.000000,0.000000,0.626000,0.000000,0.626000,0,3130,0,3130,5000,2591,2784,193,539,732,0.827796,0.930675
134,0.748511,45.010000,1.549392,0.000000,0.000000,0.593600,0.042000,0.635600,1,2968,210,3178,5000,2462,2540,78,716,794,0.774701,0.969291
135,0.650974,46.650000,1.480595,0.000000,0.000000,0.614800,0.000000,0.614800,0,3074,0,3074,5000,2539,2788,249,535,784,0.825960,0.910689
136,0.519316,40.230000,1.597567,0.000000,0.000000,0.620600,0.034200,0.654800,1,3103,171,3274,5000,2893,2964,71,381,452,0.883629,0.976046
137,0.529360,47.650000,1.431293,0.000000,0.000000,0.663600,0.000000,0.663600,0,3318,0,3318,5000,2907,3472,565,411,976,0.876130,0.837270
138,0.467541,45.080000,1.530269,0.000000,0.000000,0.735200,0.049200,0.784400,1,3676,246,3922,5000,3497,3652,155,425,580,0.891637,0.957558
139,0.533050,46.450000,1.520858,0.000000,0.000000,0.620000,0.000000,0.620000,0,3100,0,3100,5000,2610,2800,190,490,680,0.841935,0.932143
140,0.541169,38.390000,1.664945,0.000000,0.000000,0.655000,0.031600,0.686600,1,3275,158,3433,5000,3005,3060,55,428,483,0.875328,0.982026
141,0.700137,40.210000,1.665773,0.000000,0.000000,0.713200,0.000000,0.713200,0,3566,0,3566,5000,2914,3092,178,652,830,0.817162,0.942432
142,0.790825,42.940000,1.536668,0.000000,0.000000,0.631600,0.034600,0.666200,1,3158,173,3331,5000,2627,2696,69,704,773,0.788652,0.974407
143,0.476033,47.090000,1.457697,0.000000,0.000000,0.692800,0.000000,0.692800,0,3464,0,3464,5000,2965,3252,287,499,786,0.855947,0.911747
144,0.898351,43.020000,1.547039,0.000000,0.000000,0.706800,0.041200,0.748000,1,3534,206,3740,5000,2717,2740,23,1023,1046,0.726471,0.991606
145,0.863844,44.440000,1.520772,0.000000,0.000000,0.638400,0.000000,0.638400,0,3192,0,3192,5000,2322,2512,190,870,1060,0.727444,0.924363
146,0.473303,37.410000,1.716080,0.000000,0.000000,0.677000,0.046000,0.723000,1,3385,230,3615,5000,3250,3336,86,365,451,0.899032,0.974221
147,1.163827,41.060000,1.599599,0.000000,0.000000,0.669600,0.000000,0.669600,0,3348,0,3348,5000,1920,2092,172,1428,1600,0.573477,0.917782
