epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
168,0.006063,50,0.636900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
169,0.006390,50,0.604100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
170,0.006316,50,0.632900,99.947500,60.465000,0.006985,0.997700,60.531723,4,0.000000,39904,0.605378,62.990000,1.714568
171,0.006250,50,0.585150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
172,0.006125,50,0.596100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
173,0.006559,50,0.592200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
174,0.005261,50,0.646850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
175,0.005669,50,0.644400,99.980000,60.497500,0.005845,0.998275,60.536926,1,100.000000,39930,0.605359,63.060000,1.730036
176,0.006145,50,0.617850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
177,0.006358,50,0.650150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
178,0.005965,50,0.623750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
179,0.005710,50,0.585400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
180,0.006037,50,0.618700,99.937500,60.482500,0.006651,0.997750,60.548735,4,50.000000,39906,0.605498,63.080000,1.738229
181,0.007997,50,0.601800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
182,0.007513,50,0.608400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
183,0.006286,50,0.608000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
184,0.006448,50,0.600800,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
185,0.005914,50,0.600400,99.990000,60.497500,0.005416,0.998300,60.545427,1,0.000000,39931,0.605469,62.770000,1.725175
