Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
207,20.390000,2.216260,21.080000,2.183325,1.360151,1413.69
208,21.292000,2.209793,23.110000,2.177467,1.365981,1420.43
209,21.324000,2.221236,22.920000,2.179780,1.374583,1427.07
210,20.918000,2.214042,22.510000,2.175265,1.382437,1433.71
211,22.384000,2.170137,24.540000,2.087780,1.341516,1440.44
212,20.494000,2.198041,22.200000,2.135842,1.369655,1447.07
213,22.054000,2.184789,24.300000,2.117952,1.369067,1453.90
214,21.242000,2.219584,22.670000,2.176626,1.354254,1460.66
215,22.112000,2.193736,24.620000,2.129931,1.402037,1467.37
216,22.322000,2.199323,24.760000,2.136550,1.351521,1474.10
217,22.198000,2.189257,24.380000,2.118105,1.354966,1481.15
218,22.760000,2.159938,25.130000,2.080605,1.346606,1488.17
219,22.604000,2.172059,25.650000,2.085686,1.343337,1495.28
220,23.058000,2.157043,25.220000,2.072137,1.328554,1502.09
221,21.690000,2.181192,23.310000,2.126715,1.366056,1508.92
222,21.180000,2.194648,21.660000,2.160230,1.319623,1516.26
223,22.646000,2.207735,25.000000,2.134331,1.354181,1523.77
224,20.454000,2.235873,21.040000,2.203740,1.350210,1530.88
225,21.524000,2.241069,23.240000,2.205319,1.330905,1538.91
226,21.726000,2.211807,23.470000,2.182783,1.328280,1546.05
227,21.996000,2.200535,23.700000,2.145342,1.332016,1554.24
228,22.344000,2.185491,24.670000,2.125859,1.347289,1561.84
229,22.314000,2.175545,23.370000,2.117809,1.370557,1568.97
230,22.298000,2.189426,24.810000,2.119581,1.329372,1575.89
231,21.566000,2.204674,23.520000,2.139347,1.326505,1583.21
232,21.152000,2.199864,22.690000,2.141314,1.325356,1590.57
233,22.074000,2.180443,23.650000,2.132990,1.331078,1597.66
234,22.186000,2.202525,23.730000,2.158761,1.333044,1605.61
235,22.170000,2.175402,24.580000,2.089204,1.331438,1612.48
236,20.770000,2.234173,21.410000,2.207430,1.387866,1620.41
237,19.714000,2.263809,19.770000,2.243544,1.313599,1627.43
238,22.200000,2.231643,24.880000,2.189642,1.303070,1635.17
239,22.184000,2.195546,23.960000,2.148166,1.313037,1642.05
240,21.850000,2.191704,22.800000,2.148539,1.335020,1649.84
241,20.228000,2.223697,20.470000,2.224404,1.348877,1656.65
242,21.568000,2.197135,21.980000,2.178006,1.304585,1664.41
243,21.726000,2.204043,22.870000,2.144233,1.317327,1671.25
244,22.088000,2.173776,24.490000,2.109576,1.344326,1679.09
245,23.404000,2.176352,24.990000,2.117845,1.332697,1686.15
246,22.910000,2.165584,25.120000,2.077985,1.301950,1694.10
247,21.382000,2.240053,23.860000,2.158514,1.314862,1701.09
248,22.500000,2.166035,24.040000,2.121405,1.329852,1708.80
249,21.754000,2.190269,23.430000,2.137474,1.292846,1715.71
250,21.400000,2.210285,21.570000,2.195531,1.365127,1723.60
251,22.258000,2.178355,22.830000,2.137540,1.339834,1730.72
252,22.394000,2.180565,23.120000,2.129085,1.295258,1738.49
253,21.572000,2.195689,21.840000,2.173289,1.324286,1745.61
254,21.912000,2.179913,22.350000,2.163081,1.335841,1753.45
255,22.908000,2.194331,25.340000,2.122470,1.306971,1760.47
256,22.062000,2.225665,24.700000,2.145316,1.299260,1768.34
257,22.594000,2.166961,23.490000,2.111642,1.310276,1775.31
258,23.222000,2.149283,24.570000,2.098682,1.345201,1783.13
259,22.382000,2.194835,23.810000,2.164347,1.293926,1790.29
260,22.130000,2.196570,23.690000,2.151902,1.321726,1798.12
261,22.662000,2.186703,23.730000,2.151803,1.303814,1805.17
262,22.364000,2.173936,22.960000,2.135637,1.297891,1813.05
263,21.568000,2.199655,22.760000,2.164542,1.308976,1820.10
264,22.032000,2.186370,22.950000,2.141779,1.283268,1828.20
265,22.464000,2.182790,23.550000,2.136894,1.293541,1835.16
266,21.446000,2.223892,22.020000,2.192945,1.300227,1843.02
267,20.926000,2.226205,20.380000,2.239605,1.304830,1850.10
268,21.784000,2.220313,23.800000,2.194162,1.279288,1858.03
269,21.822000,2.247673,23.400000,2.234309,1.280845,1865.01
270,21.692000,2.215380,22.580000,2.208244,1.323584,1873.06
271,22.234000,2.182412,22.810000,2.156992,1.309848,1880.06
272,21.922000,2.194035,22.060000,2.168921,1.307735,1887.99
273,21.384000,2.204845,22.030000,2.197629,1.299161,1895.05
274,20.994000,2.233203,21.660000,2.224002,1.268614,1903.02
275,22.316000,2.221620,24.240000,2.183868,1.282905,1910.05
276,21.456000,2.248636,24.070000,2.222032,1.279015,1917.73
277,21.226000,2.232284,22.020000,2.212002,1.247739,1924.66
278,21.738000,2.198398,22.710000,2.175042,1.300933,1932.31
279,22.484000,2.203966,25.120000,2.146966,1.306717,1939.38
